#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
CE|89146||HNZ|40.9406|-123.6327|180.0|0.0|0.0|-90.0|Kinemetrics_FBA-11|214415.0|1.0|M/S**2|200.0|2005-08-10T00:00:00|2021-05-03T00:00:00
CE|89255||HNE|40.5922|-124.1463|16.0|0.0|90.0|0.0|Kinemetrics_Episensor|213910.0|1.0|M/S**2|200.0|2017-09-20T00:00:00|3000-01-01T00:00:00
CE|89255|10|HNE|40.5922|-124.1463|16.0|0.0|90.0|0.0|Kinemetrics_Episensor|213910.0|1.0|M/S**2|100.0|2017-09-20T00:00:00|3000-01-01T00:00:00
CE|89255||HNN|40.5922|-124.1463|16.0|0.0|360.0|0.0|Kinemetrics_Episensor|214245.0|1.0|M/S**2|200.0|2017-09-20T00:00:00|3000-01-01T00:00:00
CE|89255|10|HNN|40.5922|-124.1463|16.0|0.0|360.0|0.0|Kinemetrics_Episensor|214245.0|1.0|M/S**2|100.0|2017-09-20T00:00:00|3000-01-01T00:00:00
CE|89255||HNZ|40.5922|-124.1463|16.0|0.0|0.0|-90.0|Kinemetrics_Episensor|214245.0|1.0|M/S**2|200.0|2017-09-20T00:00:00|3000-01-01T00:00:00
CE|89255|10|HNZ|40.5922|-124.1463|16.0|0.0|0.0|-90.0|Kinemetrics_Episensor|214245.0|1.0|M/S**2|100.0|2017-09-20T00:00:00|3000-01-01T00:00:00
CE|89462||HNE|40.5036|-124.101|43.0|0.0|270.0|0.0|Kinemetrics_FBA-11|214077.0|1.0|M/S**2|200.0|2017-09-21T00:00:00|2023-05-09T00:00:00
CE|89462|10|HNE|40.5036|-124.101|43.0|0.0|270.0|0.0|Kinemetrics_FBA-11|214077.0|1.0|M/S**2|100.0|2017-09-21T00:00:00|2023-05-09T00:00:00
CE|89462||HNN|40.5036|-124.101|43.0|0.0|360.0|0.0|Kinemetrics_FBA-11|214749.0|1.0|M/S**2|200.0|2017-09-21T00:00:00|2023-05-09T00:00:00
CE|89462|10|HNN|40.5036|-124.101|43.0|0.0|360.0|0.0|Kinemetrics_FBA-11|214749.0|1.0|M/S**2|100.0|2017-09-21T00:00:00|2023-05-09T00:00:00
CE|89462||HNZ|40.5036|-124.101|43.0|0.0|0.0|-90.0|Kinemetrics_FBA-11|214413.0|1.0|M/S**2|200.0|2017-09-21T00:00:00|2023-05-09T00:00:00
CE|89462|10|HNZ|40.5036|-124.101|43.0|0.0|0.0|-90.0|Kinemetrics_FBA-11|214413.0|1.0|M/S**2|100.0|2017-09-21T00:00:00|2023-05-09T00:00:00
CE|89464||HNE|40.9567|-124.1164|25.0|0.0|90.0|0.0|Kinemetrics_FBA-11|213742.0|1.0|M/S**2|200.0|2011-12-08T00:00:00|3000-01-01T00:00:00
CE|89464|10|HNE|40.9567|-124.1164|25.0|0.0|90.0|0.0|Kinemetrics_FBA-11|213742.0|1.0|M/S**2|100.0|2017-09-19T00:00:00|3000-01-01T00:00:00
CE|89464||HNN|40.9567|-124.1164|25.0|0.0|360.0|0.0|Kinemetrics_FBA-11|213742.0|1.0|M/S**2|200.0|2011-12-08T00:00:00|3000-01-01T00:00:00
CE|89464|10|HNN|40.9567|-124.1164|25.0|0.0|360.0|0.0|Kinemetrics_FBA-11|213742.0|1.0|M/S**2|100.0|2017-09-19T00:00:00|3000-01-01T00:00:00
