#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | Instrument | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
BK|HOPS||LHZ|38.993488|-123.072342|299.1|3|0|-90|STS-1 VERTICAL,Velocity Sensor,STRECKEISEN|976234000|1|M/S|1|1995-12-18T21:37:00|1997-04-29T00:01:00
BK|HOPS||LHZ|38.993488|-123.072342|299.1|3|0|-90|STS-1 VERTICAL,Velocity Sensor,STRECKEISEN|976234000|1|M/S|1|1997-04-29T03:42:00|1998-03-24T22:01:00
BK|JRSC||LHZ|37.403728|-122.238678|70.5|0|0|-90|STS-2,Velocity Sensor,STRECKEISEN|610660000|1|M/S|1|1994-06-30T21:20:00|1995-04-06T18:23:00
BK|JRSC||LHZ|37.403728|-122.238678|70.5|0|0|-90|STS-2,Velocity Sensor,STRECKEISEN|610660000|1|M/S|1|1995-06-07T18:39:00|2000-02-16T20:51:00
BK|JRSC||LHZ|37.403728|-122.238678|70.5|0|0|-90|STS-2,Velocity Sensor,STRECKEISEN|638914000|1|M/S|1|1995-04-06T18:23:00|1995-06-07T18:39:00
BK|KCC||LHZ|37.323631|-119.318703|888.1|87.3|0|-90|STS-1 VERTICAL,Velocity Sensor,STRECKEISEN|1066950000|1|M/S|1|1996-01-10T23:42:00|1996-10-02T19:00:00
BK|KCC||LHZ|37.323631|-119.318703|888.1|87.3|0|-90|STS-1 VERTICAL,Velocity Sensor,STRECKEISEN|1066950000|1|M/S|1|1996-10-02T19:00:00|1997-07-25T21:01:00
BK|KCC||LHZ|37.323631|-119.318703|888.1|87.3|0|-90|STS-1 VERTICAL,Velocity Sensor,STRECKEISEN|1066950000|1|M/S|1|1997-07-25T21:01:00|2001-06-01T00:00:00
BK|KCC||LHZ|37.323631|-119.318703|888.1|87.3|0|-90|STS-1 VERTICAL,Velocity Sensor,STRECKEISEN|1084450000|1|M/S|1|1995-12-09T00:00:00|1996-01-10T23:42:00
BK|MHC||LHZ|37.34164|-121.64257|1250.4|0|0|-90|STS-1 VERTICAL,Velocity Sensor,STRECKEISEN|1082720000|1|M/S|1|1993-02-02T21:55:00|1996-04-09T22:45:00
BK|MHC||LHZ|37.34164|-121.64257|1250.4|0|0|-90|STS-1 VERTICAL,Velocity Sensor,STRECKEISEN|1082720000|1|M/S|1|1996-04-09T22:45:00|2001-06-01T00:00:00
BK|MIN||LHZ|40.346008|-121.60656|1470.9|0|0|-90|STS-1 VERTICAL,Velocity Sensor,STRECKEISEN|1098160000|1|M/S|1|1993-05-24T21:30:00|1999-12-08T18:10:00
BK|ORV||LHZ|39.554508|-121.500359|334.7|3|0|-90|STS-1 VERTICAL,Velocity Sensor,STRECKEISEN|920076000|1|M/S|1|1992-07-31T18:50:00|2010-03-11T20:00:00
